From,To,Cost
0,3,4.6989425275731955
2,0,5.643386321402888
0,4,4.1465729006173575
0,7,4.8439375596902465
0,1,8.311448249761327
0,0,8.391990590882852
1,12,7.410683881594425
7,1,2.0308293358541483
1,8,6.787803608854524
1,10,3.8864203448659342
1,12,4.539519832406768
1,2,7.266063035032953
2,7,9.061945832162476
11,2,9.326524304159516
2,0,4.77177033029381
2,10,2.3937145895790706
2,2,5.167279837911699
2,6,8.420881282801872
3,8,8.726624488284337
5,3,4.526649095226395
3,8,5.943896858407071
3,3,5.680001456152725
3,0,7.452672873449606
3,11,5.968809624240197
4,0,5.1136252917601475
12,4,7.868375576498604
4,12,1.6929896633343602
4,7,8.588113898992205
4,0,7.167625981629134
4,1,3.2083928927747927
5,10,5.988308748797066
12,5,5.925567261423219
5,3,5.583341415543994
5,5,3.641867192982442
5,14,8.37567419793761
5,2,5.562781190761571
6,11,9.730865776483009
7,6,9.149769180008358
6,6,8.653538352857966
6,0,9.240851349481904
6,3,3.5731367521419424
6,10,9.084197411602771
7,11,9.569850576028374
3,7,7.427638329220122
7,1,1.0397601802697678
7,2,5.982456710444313
7,0,3.2390776384379794
7,9,3.348621551425082
8,12,5.9520800777702645
13,8,8.298810540645725
8,11,3.094619404523642
8,9,9.957153354638303
8,6,7.498467966749867
8,4,5.0807053583660595
9,12,7.241956560401877
2,9,4.750822559013921
9,13,5.816147064287636
9,12,1.7622107061025358
9,10,2.5728616221501586
9,9,3.793820679689615
10,14,6.650916248613477
14,10,2.718286817114175
10,3,4.503028446227147
10,5,8.130779577213808
10,0,4.107102916649037
10,11,9.239195177035269
11,3,3.9285195680605205
5,11,5.423467371910246
11,14,1.001511909148538
11,1,5.051056015607943
11,7,8.210857872315614
11,8,2.1410231082448274
12,8,7.003822250996512
7,12,1.2299029969595618
12,7,7.692811096483119
12,13,9.150748675768858
12,5,9.477367951104908
12,2,7.635302999310794
13,14,3.7623087411905702
14,13,5.112859939280932
13,2,2.5487686134509477
13,0,9.002723650849783
13,6,6.53294374534015
13,8,4.036858275350991
14,0,1.9694011861216336
0,14,9.38895447984862
14,5,5.730339404136742
14,14,7.2155296157538675
14,13,8.567521824762228
14,4,3.7838341434129608
