From,To,Cost
0,1,10
0,2,9
0,3,7
0,4,3
0,5,3
0,6,10
0,7,1
0,8,7
0,9,7
0,10,9
0,11,4
0,12,8
0,13,7
0,14,9
0,15,8
0,16,1
0,17,3
0,18,9
0,19,8
0,20,3
0,21,8
0,22,8
0,23,8
0,24,6
0,25,9
0,26,2
0,27,6
0,28,6
0,29,2
0,30,4
0,31,9
0,32,2
0,33,5
0,34,10
0,35,8
0,36,2
0,37,1
0,38,3
0,39,6
0,40,7
0,41,5
0,42,4
0,43,1
0,44,4
0,45,6
0,46,2
0,47,4
0,48,10
0,49,10
0,50,6
0,51,2
0,52,3
0,53,7
0,54,10
0,55,4
0,56,7
0,57,10
0,58,4
0,59,8
0,60,6
0,61,9
0,62,3
0,63,6
0,64,5
0,65,1
0,66,10
0,67,9
0,68,1
0,69,3
0,70,5
0,71,1
0,72,4
0,73,3
0,74,10
0,75,2
0,76,7
0,77,3
0,78,10
0,79,8
0,80,9
0,81,1
0,82,5
0,83,1
0,84,9
0,85,5
0,86,1
0,87,2
0,88,5
0,89,1
0,90,2
0,91,10
0,92,9
0,93,4
0,94,4
0,95,5
0,96,1
0,97,2
0,98,10
0,99,10
1,0,5
1,2,10
1,3,3
1,4,8
1,5,8
1,6,2
1,7,10
1,8,4
1,9,9
1,10,5
1,11,7
1,12,4
1,13,6
1,14,4
1,15,6
1,16,3
1,17,1
1,18,10
1,19,1
1,20,8
1,21,1
1,22,2
1,23,1
1,24,4
1,25,5
1,26,6
1,27,10
1,28,9
1,29,1
1,30,7
1,31,4
1,32,10
1,33,2
1,34,7
1,35,4
1,36,8
1,37,2
1,38,8
1,39,5
1,40,2
1,41,8
1,42,5
1,43,10
1,44,3
1,45,10
1,46,10
1,47,4
1,48,5
1,49,10
1,50,7
1,51,7
1,52,6
1,53,3
1,54,7
1,55,1
1,56,10
1,57,7
1,58,3
1,59,1
1,60,2
1,61,6
1,62,3
1,63,7
1,64,9
1,65,8
1,66,6
1,67,2
1,68,2
1,69,5
1,70,7
1,71,8
1,72,3
1,73,3
1,74,6
1,75,6
1,76,2
1,77,10
1,78,4
1,79,7
1,80,9
1,81,2
1,82,8
1,83,10
1,84,9
1,85,10
1,86,8
1,87,10
1,88,3
1,89,3
1,90,8
1,91,2
1,92,6
1,93,10
1,94,3
1,95,1
1,96,10
1,97,1
1,98,9
1,99,7
2,0,4
2,1,3
2,3,3
2,4,10
2,5,9
2,6,7
2,7,1
2,8,8
2,9,10
2,10,8
2,11,1
2,12,1
2,13,5
2,14,5
2,15,5
2,16,10
2,17,3
2,18,10
2,19,7
2,20,7
2,21,5
2,22,7
2,23,10
2,24,9
2,25,7
2,26,7
2,27,1
2,28,8
2,29,1
2,30,4
2,31,1
2,32,1
2,33,1
2,34,8
2,35,4
2,36,10
2,37,8
2,38,4
2,39,4
2,40,2
2,41,9
2,42,5
2,43,2
2,44,6
2,45,8
2,46,4
2,47,1
2,48,6
2,49,6
2,50,9
2,51,9
2,52,7
2,53,10
2,54,4
2,55,3
2,56,10
2,57,10
2,58,9
2,59,1
2,60,5
2,61,2
2,62,2
2,63,1
2,64,9
2,65,4
2,66,8
2,67,9
2,68,2
2,69,6
2,70,1
2,71,10
2,72,9
2,73,8
2,74,9
2,75,6
2,76,8
2,77,9
2,78,10
2,79,1
2,80,4
2,81,1
2,82,1
2,83,6
2,84,6
2,85,8
2,86,1
2,87,9
2,88,6
2,89,7
2,90,7
2,91,6
2,92,3
2,93,9
2,94,5
2,95,8
2,96,9
2,97,7
2,98,5
2,99,5
3,0,1
3,1,7
3,2,9
3,4,3
3,5,2
3,6,8
3,7,9
3,8,6
3,9,9
3,10,7
3,11,6
3,12,5
3,13,10
3,14,6
3,15,2
3,16,10
3,17,9
3,18,9
3,19,8
3,20,7
3,21,2
3,22,5
3,23,4
3,24,10
3,25,10
3,26,7
3,27,4
3,28,10
3,29,10
3,30,8
3,31,5
3,32,2
3,33,9
3,34,1
3,35,10
3,36,9
3,37,9
3,38,9
3,39,6
3,40,1
3,41,6
3,42,1
3,43,5
3,44,9
3,45,4
3,46,4
3,47,10
3,48,6
3,49,8
3,50,10
3,51,4
3,52,4
3,53,7
3,54,5
3,55,4
3,56,1
3,57,9
3,58,9
3,59,1
3,60,10
3,61,10
3,62,8
3,63,1
3,64,4
3,65,5
3,66,10
3,67,6
3,68,4
3,69,8
3,70,9
3,71,2
3,72,8
3,73,10
3,74,6
3,75,9
3,76,10
3,77,9
3,78,7
3,79,10
3,80,4
3,81,9
3,82,7
3,83,2
3,84,9
3,85,9
3,86,1
3,87,5
3,88,3
3,89,6
3,90,3
3,91,9
3,92,1
3,93,8
3,94,5
3,95,9
3,96,4
3,97,7
3,98,5
3,99,1
4,0,8
4,1,9
4,2,4
4,3,8
4,5,6
4,6,10
4,7,7
4,8,4
4,9,9
4,10,7
4,11,2
4,12,1
4,13,1
4,14,9
4,15,10
4,16,7
4,17,2
4,18,8
4,19,10
4,20,9
4,21,5
4,22,6
4,23,2
4,24,8
4,25,4
4,26,3
4,27,8
4,28,9
4,29,8
4,30,7
4,31,8
4,32,4
4,33,2
4,34,1
4,35,1
4,36,7
4,37,2
4,38,10
4,39,6
4,40,5
4,41,9
4,42,1
4,43,7
4,44,9
4,45,3
4,46,8
4,47,1
4,48,3
4,49,8
4,50,7
4,51,10
4,52,4
4,53,4
4,54,8
4,55,6
4,56,10
4,57,2
4,58,6
4,59,5
4,60,7
4,61,1
4,62,6
4,63,5
4,64,1
4,65,2
4,66,1
4,67,3
4,68,8
4,69,10
4,70,3
4,71,6
4,72,5
4,73,8
4,74,8
4,75,3
4,76,9
4,77,4
4,78,4
4,79,1
4,80,4
4,81,4
4,82,10
4,83,4
4,84,2
4,85,8
4,86,2
4,87,6
4,88,10
4,89,5
4,90,7
4,91,4
4,92,6
4,93,7
4,94,5
4,95,6
4,96,3
4,97,8
4,98,2
4,99,7
5,0,4
5,1,3
5,2,4
5,3,8
5,4,5
5,6,5
5,7,8
5,8,1
5,9,3
5,10,10
5,11,9
5,12,9
5,13,3
5,14,6
5,15,4
5,16,10
5,17,1
5,18,7
5,19,6
5,20,9
5,21,10
5,22,1
5,23,2
5,24,6
5,25,4
5,26,2
5,27,7
5,28,2
5,29,10
5,30,1
5,31,3
5,32,5
5,33,10
5,34,1
5,35,6
5,36,2
5,37,10
5,38,3
5,39,6
5,40,5
5,41,7
5,42,7
5,43,8
5,44,8
5,45,7
5,46,1
5,47,1
5,48,2
5,49,4
5,50,9
5,51,3
5,52,7
5,53,2
5,54,2
5,55,8
5,56,1
5,57,4
5,58,7
5,59,3
5,60,4
5,61,8
5,62,1
5,63,2
5,64,4
5,65,2
5,66,1
5,67,4
5,68,5
5,69,5
5,70,6
5,71,2
5,72,4
5,73,7
5,74,4
5,75,6
5,76,7
5,77,10
5,78,4
5,79,2
5,80,8
5,81,7
5,82,2
5,83,4
5,84,8
5,85,8
5,86,2
5,87,8
5,88,8
5,89,8
5,90,6
5,91,6
5,92,9
5,93,8
5,94,4
5,95,9
5,96,2
5,97,5
5,98,10
5,99,10
6,0,7
6,1,6
6,2,6
6,3,6
6,4,6
6,5,10
6,7,7
6,8,9
