From,To,Cost
0,3,6.992740378023744
10,0,1.4725915763819095
0,13,3.642858282919496
0,8,6.586250964954083
0,1,6.249823720076185
0,5,3.1074501652514197
1,10,2.540182939958019
12,1,3.5108704009435496
1,10,1.6908524610401892
1,14,9.096534169688116
1,0,2.920571401016365
1,5,8.469161576509709
2,6,9.480757970880862
13,2,6.804733104164139
2,9,6.107571135948772
2,10,2.366153793732434
2,13,9.15773344161897
2,5,5.863373394524766
3,7,6.385706683849925
4,3,1.5429483534695119
3,5,9.562733411022347
3,11,2.4360261985922307
3,7,5.871651917662006
3,14,1.4286835989963604
4,7,9.82450356330155
9,4,3.2512670724905934
4,6,7.428209723716624
4,7,4.344685086737595
4,8,9.027170763891052
4,13,2.904199213059994
5,0,2.543577775162781
3,5,2.10080886675181
5,8,9.545430023647016
5,11,5.12397539371851
5,4,9.483135228303082
5,9,6.562131189173632
6,5,7.095155626381267
0,6,2.3804940620946007
6,14,8.745690320756442
6,8,7.526210815604909
6,0,5.866172748505966
6,12,5.022499345601726
7,0,1.8427035584044154
3,7,2.590135488815082
7,6,2.8213325351327194
7,11,4.999880243088453
7,13,2.7753455625941172
7,5,8.353934802791382
8,11,3.3419534624537515
10,8,7.782122399308364
8,8,1.3164429704916425
8,10,1.15420196109325
8,11,8.626621647354451
8,5,8.610495118389094
9,7,2.4247537872242955
6,9,7.208682252218012
9,14,2.997983977055898
9,1,4.056952583625931
9,13,9.662074236275481
9,12,8.682984209000459
10,12,8.999803432836046
6,10,9.942495526535774
10,2,3.3268310239661667
10,11,3.0606434327139236
10,14,8.353676706418515
10,5,9.515237535484978
11,0,9.734323943743703
8,11,6.929433197676397
11,13,7.214504899599559
11,6,5.287203607163777
11,10,9.38040885445838
11,0,6.013554144380379
12,0,2.8892539981494654
11,12,1.7266357601972642
12,4,9.476773289762994
12,13,6.522380584369875
12,0,7.7692207851939425
12,7,5.511068165923668
13,10,3.7315782688761514
7,13,6.247408972714808
13,0,9.265962181694379
13,2,5.950901039978228
13,8,5.101548948377098
13,14,8.814582737157817
14,11,8.69058055212645
11,14,7.886045085544305
14,8,4.373034391245028
14,3,4.604954288187109
14,2,2.8850792968094097
14,14,8.014026857423092
